id,rank,common_name,french_name,order,family,subfamily,genus,species,annotation,status_accidental,status_hawaiian,status_introduced,status_nonbreeding,status_extinct,status_misplaced
2,species,Highland Tinamou,Tinamou de Bonaparte,Tinamiformes,Tinamidae,,Nothocercus,Nothocercus bonapartei,,,,,,,
1,species,Great Tinamou,Grand Tinamou,Tinamiformes,Tinamidae,,Tinamus,Tinamus major,,,,,,,
3,species,Little Tinamou,Tinamou soui,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus soui,,,,,,,
4,species,Thicket Tinamou,Tinamou cannelle,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus cinnamomeus,,,,,,,
5,species,Slaty-breasted Tinamou,Tinamou de Boucard,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus boucardi,,,,,,,
6,species,Choco Tinamou,Tinamou de Kerr,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus kerriae,Monotypic.,,,,,,
7,species,White-faced Whistling-Duck,Dendrocygne veuf,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna viduata,Monotypic.,,,,,,
8,species,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna autumnalis,,,,,,,
9,species,West Indian Whistling-Duck,Dendrocygne des Antilles,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna arborea,Monotypic.,,,,,,
10,species,Fulvous Whistling-Duck,Dendrocygne fauve,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna bicolor,Monotypic.,,,,,,
12681,species,Emperor Goose,Oie empereur,Anseriformes,Anatidae,Anserinae,Anser,Anser canagicus,Monotypic. Formerly placed in the genus Chen.,,,,,,
12691,species,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anserinae,Anser,Anser caerulescens,Formerly placed in the genus Chen.,,,,,,
12701,species,Ross's Goose,Oie de Ross,Anseriformes,Anatidae,Anserinae,Anser,Anser rossii,Formerly placed in the genus Chen.,,,,,,
2049,species,Graylag Goose,Oie cendrée,Anseriformes,Anatidae,Anserinae,Anser,Anser anser,,A,,,,,
14,species,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anserinae,Anser,Anser albifrons,,,,,,,
15,species,Lesser White-fronted Goose,Oie naine,Anseriformes,Anatidae,Anserinae,Anser,Anser erythropus,Monotypic.,A,,,,,
11,species,Taiga Bean-Goose,Oie des moissons,Anseriformes,Anatidae,Anserinae,Anser,Anser fabalis,,A,,,,,
12,species,Tundra Bean-Goose,Oie de la toundra,Anseriformes,Anatidae,Anserinae,Anser,Anser serrirostris,,A,,,,,
13,species,Pink-footed Goose,Oie à bec court,Anseriformes,Anatidae,Anserinae,Anser,Anser brachyrhynchus,Monotypic. Considered subspecies of A. fabalis by Peters (1979).,,,,,,
19,species,Brant,Bernache cravant,Anseriformes,Anatidae,Anserinae,Branta,Branta bernicla,,,,,,,
20,species,Barnacle Goose,Bernache nonnette,Anseriformes,Anatidae,Anserinae,Branta,Branta leucopsis,Monotypic.,,,,,,
21,species,Cackling Goose,Bernache de Hutchins,Anseriformes,Anatidae,Anserinae,Branta,Branta hutchinsii,,,,,,,
22,species,Canada Goose,Bernache du Canada,Anseriformes,Anatidae,Anserinae,Branta,Branta canadensis,,,,,,,
23,species,Hawaiian Goose,Bernache néné,Anseriformes,Anatidae,Anserinae,Branta,Branta sandvicensis,Monotypic.,,H,,,,
24,species,Mute Swan,Cygne tuberculé,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus olor,Monotypic.,,,I,,,
25,species,Trumpeter Swan,Cygne trompette,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus buccinator,Monotypic.,,,,,,
26,species,Tundra Swan,Cygne siffleur,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus columbianus,,,,,,,
27,species,Whooper Swan,Cygne chanteur,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus cygnus,Monotypic.,,,,,,
28,species,Comb Duck,Canard sylvicole,Anseriformes,Anatidae,Tadorninae,Sarkidiornis,Sarkidiornis sylvicola,Formerly considered conspecific with S. melanotos.,,,,,,
29,species,Orinoco Goose,Ouette de l'Orénoque,Anseriformes,Anatidae,Tadorninae,Neochen,Neochen jubata,Monotypic.,A,,,,,
11241,species,Egyptian Goose,Ouette d'Égypte,Anseriformes,Anatidae,Tadorninae,Alopochen,Alopochen aegyptiaca,,,,I,,,
13191,species,Common Shelduck,Tadorne de Belon,Anseriformes,Anatidae,Tadorninae,Tadorna,Tadorna tadorna,,A,,,,,
12291,species,Ruddy Shelduck,Tadorne casarca,Anseriformes,Anatidae,Tadorninae,Tadorna,Tadorna ferruginea,,A,,,,,
30,species,Muscovy Duck,Canard musqué,Anseriformes,Anatidae,Anatinae,Cairina,Cairina moschata,Monotypic.,,,,,,
31,species,Wood Duck,Canard branchu,Anseriformes,Anatidae,Anatinae,Aix,Aix sponsa,Monotypic.,,,,,,
12721,species,Baikal Teal,Sarcelle élégante,Anseriformes,Anatidae,Anatinae,Sibirionetta,Sibirionetta formosa,Formerly placed in the genus Anas.,A,,,,,
12741,species,Garganey,Sarcelle d'été,Anseriformes,Anatidae,Anatinae,Spatula,Spatula querquedula,Monotypic. Formerly placed in the genus Anas.,,,,N,,
12751,species,Blue-winged Teal,Sarcelle à ailes bleues,Anseriformes,Anatidae,Anatinae,Spatula,Spatula discors,"Monotypic. Spatula discors orphna recognized by AOU 1957, but validity doubtful. Formerly placed in the genus Anas.",,,,,,
12761,species,Cinnamon Teal,Sarcelle cannelle,Anseriformes,Anatidae,Anatinae,Spatula,Spatula cyanoptera,Formerly placed in the genus Anas.,,,,,,
12771,species,Northern Shoveler,Canard souchet,Anseriformes,Anatidae,Anatinae,Spatula,Spatula clypeata,Monotypic. Formerly placed in the genus Anas.,,,,,,
12791,species,Gadwall,Canard chipeau,Anseriformes,Anatidae,Anatinae,Mareca,Mareca strepera,"No extant subspecies. Peters (1979), Clements (2000), and Howard and Moore (2003) recognize Mareca strepera couesi, now extinct. Formerly placed in the genus Anas.",,,,,,
12801,species,Falcated Duck,Canard à faucilles,Anseriformes,Anatidae,Anatinae,Mareca,Mareca falcata,Monotypic. Formerly placed in the genus Anas.,A,,,,,
12811,species,Eurasian Wigeon,Canard siffleur,Anseriformes,Anatidae,Anatinae,Mareca,Mareca penelope,Monotypic. Formerly placed in the genus Anas.,,,,N,,
12821,species,American Wigeon,Canard d'Amérique,Anseriformes,Anatidae,Anatinae,Mareca,Mareca americana,Monotypic. Formerly placed in the genus Anas.,,,,,,
40,species,Laysan Duck,Canard de Laysan,Anseriformes,Anatidae,Anatinae,Anas,Anas laysanensis,Monotypic. Listed as a subspecies of <i>Anas platyrhynchos</i> by Peters (1979) and del Hoyo et al. (1992).,,H,,,,
39,species,Hawaiian Duck,Canard des Hawaï,Anseriformes,Anatidae,Anatinae,Anas,Anas wyvilliana,Monotypic. Listed as a subspecies of <i>Anas platyrhynchos</i> by Peters (1979) and del Hoyo et al. (1992).,,H,,,,
41,species,Eastern Spot-billed Duck,Canard de Chine,Anseriformes,Anatidae,Anatinae,Anas,Anas zonorhyncha,"Recognized as a subspecies of <i>Anas poecilorhynchas</i> by Peters (1979), del Hoyo et al. (1992), Clements (2000), and Howard and Moore (2003).",A,,,,,
37,species,Mallard,Canard colvert,Anseriformes,Anatidae,Anatinae,Anas,Anas platyrhynchos,Monotypic.,,,,,,
14591,species,Mexican Duck,Canard du Mexique,Anseriformes,Anatidae,Anatinae,Anas,Anas diazi,Formerly considered conspecific with Anas platyrhynchos.,,,,,,
36,species,American Black Duck,Canard noir,Anseriformes,Anatidae,Anatinae,Anas,Anas rubripes,Monotypic.,,,,,,
38,species,Mottled Duck,Canard brun,Anseriformes,Anatidae,Anatinae,Anas,Anas fulvigula,,,,,,,
45,species,White-cheeked Pintail,Canard des Bahamas,Anseriformes,Anatidae,Anatinae,Anas,Anas bahamensis,,,,,,,
46,species,Northern Pintail,Canard pilet,Anseriformes,Anatidae,Anatinae,Anas,Anas acuta,"Recognized as a monotypic by AOU (1957), Clements (2000), and Howard and Moore (2003). Subspecies <i>Anas acuta acuta, A. a. eatoni</i>, and <i>A. a. ...",,,,,,
49,species,Green-winged Teal,Sarcelle d'hiver,Anseriformes,Anatidae,Anatinae,Anas,Anas crecca,,,,,,,
50,species,Canvasback,Fuligule à dos blanc,Anseriformes,Anatidae,Anatinae,Aythya,Aythya valisineria,Monotypic.,,,,,,
51,species,Redhead,Fuligule à tête rouge,Anseriformes,Anatidae,Anatinae,Aythya,Aythya americana,Monotypic.,,,,,,
52,species,Common Pochard,Fuligule milouin,Anseriformes,Anatidae,Anatinae,Aythya,Aythya ferina,Monotypic.,A,,,,,
53,species,Ring-necked Duck,Fuligule à collier,Anseriformes,Anatidae,Anatinae,Aythya,Aythya collaris,Monotypic.,,,,,,
54,species,Tufted Duck,Fuligule morillon,Anseriformes,Anatidae,Anatinae,Aythya,Aythya fuligula,Monotypic.,,,,,,
55,species,Greater Scaup,Fuligule milouinan,Anseriformes,Anatidae,Anatinae,Aythya,Aythya marila,,,,,,,
56,species,Lesser Scaup,Petit Fuligule,Anseriformes,Anatidae,Anatinae,Aythya,Aythya affinis,Monotypic.,,,,,,
57,species,Steller's Eider,Eider de Steller,Anseriformes,Anatidae,Anatinae,Polysticta,Polysticta stelleri,Monotypic.,,,,,,
62,species,Labrador Duck,Eider du Labrador,Anseriformes,Anatidae,Anatinae,Camptorhynchus,Camptorhynchus labradorius,Monotypic.,,,,,†,
58,species,Spectacled Eider,Eider à lunettes,Anseriformes,Anatidae,Anatinae,Somateria,Somateria fischeri,Monotypic.,,,,,,
59,species,King Eider,Eider à tête grise,Anseriformes,Anatidae,Anatinae,Somateria,Somateria spectabilis,Monotypic.,,,,,,
60,species,Common Eider,Eider à duvet,Anseriformes,Anatidae,Anatinae,Somateria,Somateria mollissima,,,,,,,
61,species,Harlequin Duck,Arlequin plongeur,Anseriformes,Anatidae,Anatinae,Histrionicus,Histrionicus histrionicus,Monotypic. Howard and Moore (2003) list subspecies <i>H. h. histionicus</i> and <i>H. h. pacificus</i> but validity doubtful.,,,,,,
63,species,Surf Scoter,Macreuse à front blanc,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta perspicillata,Monotypic.,,,,,,
64,species,Velvet Scoter,Macreuse brune,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta fusca,,A,,,,,
13371,species,White-winged Scoter,Macreuse à ailes blanches,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta deglandi,Formerly considered conspecific with Melanitta fusca.,,,,,,
13381,species,Stejneger's Scoter,Macreuse de Sibérie,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta stejnegeri,Formerly considered conspecific with Melanitta fusca.,,,,N,,
12381,species,Common Scoter,Macreuse noire,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta nigra,,A,,,,,
65,species,Black Scoter,Macreuse à bec jaune,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta americana,,,,,,,
66,species,Long-tailed Duck,Harelde kakawi,Anseriformes,Anatidae,Anatinae,Clangula,Clangula hyemalis,Monotypic.,,,,,,
67,species,Bufflehead,Petit Garrot,Anseriformes,Anatidae,Anatinae,Bucephala,Bucephala albeola,Monotypic.,,,,,,
68,species,Common Goldeneye,Garrot à oeil d'or,Anseriformes,Anatidae,Anatinae,Bucephala,Bucephala clangula,,,,,,,
69,species,Barrow's Goldeneye,Garrot d'Islande,Anseriformes,Anatidae,Anatinae,Bucephala,Bucephala islandica,Monotypic.,,,,,,
70,species,Smew,Harle piette,Anseriformes,Anatidae,Anatinae,Mergellus,Mergellus albellus,Monotypic.,,,,N,,
71,species,Hooded Merganser,Harle couronné,Anseriformes,Anatidae,Anatinae,Lophodytes,Lophodytes cucullatus,"Monotypic.
",,,,,,
72,species,Common Merganser,Grand Harle,Anseriformes,Anatidae,Anatinae,Mergus,Mergus merganser,,,,,,,
73,species,Red-breasted Merganser,Harle huppé,Anseriformes,Anatidae,Anatinae,Mergus,Mergus serrator,Monotypic.,,,,,,
74,species,Masked Duck,Érismature routoutou,Anseriformes,Anatidae,Anatinae,Nomonyx,Nomonyx dominicus,Monotypic.,,,,,,
75,species,Ruddy Duck,Érismature rousse,Anseriformes,Anatidae,Anatinae,Oxyura,Oxyura jamaicensis,,,,,,,
76,species,Plain Chachalaca,Ortalide chacamel,Galliformes,Cracidae,,Ortalis,Ortalis vetula,,,,,,,
77,species,Gray-headed Chachalaca,Ortalide à tête grise,Galliformes,Cracidae,,Ortalis,Ortalis cinereiceps,Monotypic.,,,,,,
78,species,Rufous-vented Chachalaca,Ortalide à ventre roux,Galliformes,Cracidae,,Ortalis,Ortalis ruficauda,,,,,,,
79,species,Rufous-bellied Chachalaca,Ortalide à ventre marron,Galliformes,Cracidae,,Ortalis,Ortalis wagleri,Monotypic.,,,,,,
80,species,West Mexican Chachalaca,Ortalide de Wagler,Galliformes,Cracidae,,Ortalis,Ortalis poliocephala,Monotypic.,,,,,,
81,species,White-bellied Chachalaca,Ortalide à ventre blanc,Galliformes,Cracidae,,Ortalis,Ortalis leucogastra,Monotypic.,,,,,,
82,species,Crested Guan,Pénélope panachée,Galliformes,Cracidae,,Penelope,Penelope purpurascens,,,,,,,
83,species,Black Guan,Pénélope unicolore,Galliformes,Cracidae,,Chamaepetes,Chamaepetes unicolor,Monotypic.,,,,,,
84,species,Highland Guan,Pénélope pajuil,Galliformes,Cracidae,,Penelopina,Penelopina nigra,Monotypic.,,,,,,
85,species,Horned Guan,Oréophase cornu,Galliformes,Cracidae,,Oreophasis,Oreophasis derbianus,Monotypic.,,,,,,
86,species,Great Curassow,Grand Hocco,Galliformes,Cracidae,,Crax,Crax rubra,,,,,,,
112,species,Helmeted Guineafowl,Pintade de Numidie,Galliformes,Numididae,,Numida,Numida meleagris,,,,I,,,
133,species,Tawny-faced Quail,Colin ceinturé,Galliformes,Odontophoridae,,Rhynchortyx,Rhynchortyx cinctus,,,,,,,
116,species,Mountain Quail,Colin des montagnes,Galliformes,Odontophoridae,,Oreortyx,Oreortyx pictus,,,,,,,
115,species,Buffy-crowned Wood-Partridge,Colin à sourcils blancs,Galliformes,Odontophoridae,,Dendrortyx,Dendrortyx leucophrys,,,,,,,
114,species,Long-tailed Wood-Partridge,Colin à longue queue,Galliformes,Odontophoridae,,Dendrortyx,Dendrortyx macroura,,,,,,,
113,species,Bearded Wood-Partridge,Colin barbu,Galliformes,Odontophoridae,,Dendrortyx,Dendrortyx barbatus,Monotypic.,,,,,,
121,species,Banded Quail,Colin barré,Galliformes,Odontophoridae,,Philortyx,Philortyx fasciatus,Monotypic.,,,,,,
122,species,Northern Bobwhite,Colin de Virginie,Galliformes,Odontophoridae,,Colinus,Colinus virginianus,,,,,,,
123,species,Black-throated Bobwhite,Colin à gorge noire,Galliformes,Odontophoridae,,Colinus,Colinus nigrogularis,,,,,,,
124,species,Crested Bobwhite,Colin huppé,Galliformes,Odontophoridae,,Colinus,Colinus cristatus,,,,,,,
117,species,Scaled Quail,Colin écaillé,Galliformes,Odontophoridae,,Callipepla,Callipepla squamata,,,,,,,
118,species,Elegant Quail,Colin élégant,Galliformes,Odontophoridae,,Callipepla,Callipepla douglasii,,,,,,,
119,species,California Quail,Colin de Californie,Galliformes,Odontophoridae,,Callipepla,Callipepla californica,,,,,,,
120,species,Gambel's Quail,Colin de Gambel,Galliformes,Odontophoridae,,Callipepla,Callipepla gambelii,,,,,,,
131,species,Montezuma Quail,Colin arlequin,Galliformes,Odontophoridae,,Cyrtonyx,Cyrtonyx montezumae,,,,,,,
132,species,Ocellated Quail,Colin ocellé,Galliformes,Odontophoridae,,Cyrtonyx,Cyrtonyx ocellatus,Monotypic.,,,,,,
130,species,Singing Quail,Colin chanteur,Galliformes,Odontophoridae,,Dactylortyx,Dactylortyx thoracicus,,,,,,,
125,species,Marbled Wood-Quail,Tocro de Guyane,Galliformes,Odontophoridae,,Odontophorus,Odontophorus gujanensis,,,,,,,
126,species,Black-eared Wood-Quail,Tocro à face noire,Galliformes,Odontophoridae,,Odontophorus,Odontophorus melanotis,,,,,,,
127,species,Tacarcuna Wood-Quail,Tocro du Panama,Galliformes,Odontophoridae,,Odontophorus,Odontophorus dialeucos,Monotypic.,,,,,,
128,species,Black-breasted Wood-Quail,Tocro à poitrine noire,Galliformes,Odontophoridae,,Odontophorus,Odontophorus leucolaemus,Monotypic.,,,,,,
129,species,Spotted Wood-Quail,Tocro tacheté,Galliformes,Odontophoridae,,Odontophorus,Odontophorus guttatus,Monotypic.,,,,,,
110,species,Wild Turkey,Dindon sauvage,Galliformes,Phasianidae,,Meleagris,Meleagris gallopavo,,,,,,,
111,species,Ocellated Turkey,Dindon ocellé,Galliformes,Phasianidae,,Meleagris,Meleagris ocellata,Monotypic.,,,,,,
98,species,Ruffed Grouse,Gélinotte huppée,Galliformes,Phasianidae,,Bonasa,Bonasa umbellus,,,,,,,
14641,species,Spruce Grouse,Tétras du Canada,Galliformes,Phasianidae,,Canachites,Canachites canadensis,Formerly placed in the genus Falcipennis.,,,,,,
102,species,Willow Ptarmigan,Lagopède des saules,Galliformes,Phasianidae,,Lagopus,Lagopus lagopus,,,,,,,
103,species,Rock Ptarmigan,Lagopède alpin,Galliformes,Phasianidae,,Lagopus,Lagopus muta,,,,,,,
104,species,White-tailed Ptarmigan,Lagopède à queue blanche,Galliformes,Phasianidae,,Lagopus,Lagopus leucura,,,,,,,
99,species,Greater Sage-Grouse,Tétras des armoises,Galliformes,Phasianidae,,Centrocercus,Centrocercus urophasianus,,,,,,,
100,species,Gunnison Sage-Grouse,Tétras du Gunnison,Galliformes,Phasianidae,,Centrocercus,Centrocercus minimus,Monotypic.,,,,,,
105,species,Dusky Grouse,Tétras sombre,Galliformes,Phasianidae,,Dendragapus,Dendragapus obscurus,,,,,,,
106,species,Sooty Grouse,Tétras fuligineux,Galliformes,Phasianidae,,Dendragapus,Dendragapus fuliginosus,Monotypic.,,,,,,
107,species,Sharp-tailed Grouse,Tétras à queue fine,Galliformes,Phasianidae,,Tympanuchus,Tympanuchus phasianellus,,,,,,,
108,species,Greater Prairie-Chicken,Tétras des prairies,Galliformes,Phasianidae,,Tympanuchus,Tympanuchus cupido,,,,,,,
109,species,Lesser Prairie-Chicken,Tétras pâle,Galliformes,Phasianidae,,Tympanuchus,Tympanuchus pallidicinctus,Monotypic.,,,,,,
92,species,Gray Partridge,Perdrix grise,Galliformes,Phasianidae,,Perdix,Perdix perdix,,,,I,,,
96,species,Ring-necked Pheasant,Faisan de Colchide,Galliformes,Phasianidae,,Phasianus,Phasianus colchicus,,,,I,,,
95,species,Kalij Pheasant,Faisan leucomèle,Galliformes,Phasianidae,,Lophura,Lophura leucomelanos,,,H,I,,,
97,species,Indian Peafowl,Paon bleu,Galliformes,Phasianidae,,Pavo,Pavo cristatus,Monotypic. Formerly known as Common Peafowl.,,,I,,,
88,species,Gray Francolin,Francolin gris,Galliformes,Phasianidae,,Francolinus,Francolinus pondicerianus,,,H,I,,,
89,species,Black Francolin,Francolin noir,Galliformes,Phasianidae,,Francolinus,Francolinus francolinus,,,H,I,,,
94,species,Red Junglefowl,Coq bankiva,Galliformes,Phasianidae,,Gallus,Gallus gallus,,,H,I,,,
91,species,Himalayan Snowcock,Tétraogalle de l'Himalaya,Galliformes,Phasianidae,,Tetraogallus,Tetraogallus himalayensis,,,,I,,,
87,species,Chukar,Perdrix choukar,Galliformes,Phasianidae,,Alectoris,Alectoris chukar,,,,I,,,
93,species,Japanese Quail,Caille du Japon,Galliformes,Phasianidae,,Coturnix,Coturnix japonica,Monotypic.,,H,I,,,
13401,species,Erckel's Francolin,Francolin d'Erckel,Galliformes,Phasianidae,,Pternistis,Pternistis erckelii,Formerly placed in the genus Francolinus.,,H,I,,,
254,species,American Flamingo,Flamant des Caraïbes,Phoenicopteriformes,Phoenicopteridae,,Phoenicopterus,Phoenicopterus ruber,,,,,,,
1984,species,Least Grebe,Grèbe minime,Podicipediformes,Podicipedidae,,Tachybaptus,Tachybaptus dominicus,,,,,,,
138,species,Pied-billed Grebe,Grèbe à bec bigarré,Podicipediformes,Podicipedidae,,Podilymbus,Podilymbus podiceps,,,,,,,
139,species,Atitlan Grebe,Grèbe de l'Atitlan,Podicipediformes,Podicipedidae,,Podilymbus,Podilymbus gigas,Monotypic.,,,,,†,
1986,species,Horned Grebe,Grèbe esclavon,Podicipediformes,Podicipedidae,,Podiceps,Podiceps auritus,,,,,,,
1987,species,Red-necked Grebe,Grèbe jougris,Podicipediformes,Podicipedidae,,Podiceps,Podiceps grisegena,,,,,,,
1985,species,Eared Grebe,Grèbe à cou noir,Podicipediformes,Podicipedidae,,Podiceps,Podiceps nigricollis,,,,,,,
140,species,Western Grebe,Grèbe élégant,Podicipediformes,Podicipedidae,,Aechmophorus,Aechmophorus occidentalis,,,,,,,
141,species,Clark's Grebe,Grèbe à face blanche,Podicipediformes,Podicipedidae,,Aechmophorus,Aechmophorus clarkii,,,,,,,
535,species,Chestnut-bellied Sandgrouse,Ganga à ventre brun,Pterocliformes,Pteroclidae,,Pterocles,Pterocles exustus,,,H,I,,,
536,species,Rock Pigeon,Pigeon biset,Columbiformes,Columbidae,,Columba,Columba livia,,,,I,,,
14651,species,Common Wood Pigeon,Pigeon ramier,Columbiformes,Columbidae,,Columba,Columba palumbus,,A,,,,,
537,species,Pale-vented Pigeon,Pigeon rousset,Columbiformes,Columbidae,,Patagioenas,Patagioenas cayennensis,,,,,,,
538,species,Scaled Pigeon,Pigeon ramiret,Columbiformes,Columbidae,,Patagioenas,Patagioenas speciosa,Monotypic.,,,,,,
539,species,Scaly-naped Pigeon,Pigeon à cou rouge,Columbiformes,Columbidae,,Patagioenas,Patagioenas squamosa,Monotypic.,,,,,,
540,species,White-crowned Pigeon,Pigeon à couronne blanche,Columbiformes,Columbidae,,Patagioenas,Patagioenas leucocephala,Monotypic.,,,,,,
541,species,Red-billed Pigeon,Pigeon à bec rouge,Columbiformes,Columbidae,,Patagioenas,Patagioenas flavirostris,,,,,,,
542,species,Plain Pigeon,Pigeon simple,Columbiformes,Columbidae,,Patagioenas,Patagioenas inornata,,,,,,,
543,species,Band-tailed Pigeon,Pigeon à queue barrée,Columbiformes,Columbidae,,Patagioenas,Patagioenas fasciata,,,,,,,
544,species,Ring-tailed Pigeon,Pigeon de Jamaïque,Columbiformes,Columbidae,,Patagioenas,Patagioenas caribaea,Monotypic.,,,,,,
2050,species,Plumbeous Pigeon,Pigeon plombé,Columbiformes,Columbidae,,Patagioenas,Patagioenas plumbea,,,,,,,
545,species,Ruddy Pigeon,Pigeon vineux,Columbiformes,Columbidae,,Patagioenas,Patagioenas subvinacea,,,,,,,
546,species,Short-billed Pigeon,Pigeon à bec noir,Columbiformes,Columbidae,,Patagioenas,Patagioenas nigrirostris,Monotypic.,,,,,,
11471,species,Dusky Pigeon,Pigeon de Goodson,Columbiformes,Columbidae,,Patagioenas,Patagioenas goodsoni,,A,,,,,
547,species,Oriental Turtle-Dove,Tourterelle orientale,Columbiformes,Columbidae,,Streptopelia,Streptopelia orientalis,,A,,,,,
548,species,African Collared-Dove,Tourterelle rieuse,Columbiformes,Columbidae,,Streptopelia,Streptopelia roseogrisea,,,,I,,,
549,species,European Turtle-Dove,Tourterelle des bois,Columbiformes,Columbidae,,Streptopelia,Streptopelia turtur,,A,,,,,
550,species,Eurasian Collared-Dove,Tourterelle turque,Columbiformes,Columbidae,,Streptopelia,Streptopelia decaocto,,,,I,,,
551,species,Spotted Dove,Tourterelle tigrine,Columbiformes,Columbidae,,Streptopelia,Streptopelia chinensis,,,,I,,,
552,species,Zebra Dove,Géopélie zébrée,Columbiformes,Columbidae,,Geopelia,Geopelia striata,Monotypic.,,H,I,,,
558,species,Passenger Pigeon,Tourte voyageuse,Columbiformes,Columbidae,,Ectopistes,Ectopistes migratorius,Monotypic.,,,,,†,
559,species,Inca Dove,Colombe inca,Columbiformes,Columbidae,,Columbina,Columbina inca,Monotypic.,,,,,,
560,species,Common Ground Dove,Colombe à queue noire,Columbiformes,Columbidae,,Columbina,Columbina passerina,,,,,,,
561,species,Plain-breasted Ground Dove,Colombe pygmée,Columbiformes,Columbidae,,Columbina,Columbina minuta,,,,,,,
562,species,Ruddy Ground Dove,Colombe rousse,Columbiformes,Columbidae,,Columbina,Columbina talpacoti,,,,,,,
563,species,Blue Ground Dove,Colombe bleutée,Columbiformes,Columbidae,,Claravis,Claravis pretiosa,Monotypic.,,,,,,
13421,species,Maroon-chested Ground Dove,Colombe mondétour,Columbiformes,Columbidae,,Paraclaravis,Paraclaravis mondetoura,Formerly placed in the genus Claravis.,,,,,,
584,species,Blue-headed Quail-Dove,Colombe à tête bleue,Columbiformes,Columbidae,,Starnoenas,Starnoenas cyanocephala,Monotypic.,,,,,,
581,species,Crested Quail-Dove,Colombe versicolore,Columbiformes,Columbidae,,Geotrygon,Geotrygon versicolor,Monotypic.,,,,,,
583,species,Ruddy Quail-Dove,Colombe rouviolette,Columbiformes,Columbidae,,Geotrygon,Geotrygon montana,,,,,,,
582,species,Violaceous Quail-Dove,Colombe à nuque violette,Columbiformes,Columbidae,,Geotrygon,Geotrygon violacea,,,,,,,
579,species,Gray-fronted Quail-Dove,Colombe de Gundlach,Columbiformes,Columbidae,,Geotrygon,Geotrygon caniceps,,,,,,,
580,species,White-fronted Quail-Dove,Colombe d'Hispaniola,Columbiformes,Columbidae,,Geotrygon,Geotrygon leucometopia,Monotypic.,,,,,,
571,species,Key West Quail-Dove,Colombe à joues blanches,Columbiformes,Columbidae,,Geotrygon,Geotrygon chrysia,Monotypic.,,,,,,
572,species,Bridled Quail-Dove,Colombe à croissants,Columbiformes,Columbidae,,Geotrygon,Geotrygon mystacea,Monotypic.,,,,,,
10771,species,Olive-backed Quail-Dove,Colombe de Veraguas,Columbiformes,Columbidae,,Leptotrygon,Leptotrygon veraguensis,,,,,,,
565,species,White-tipped Dove,Colombe de Verreaux,Columbiformes,Columbidae,,Leptotila,Leptotila verreauxi,,,,,,,
568,species,Caribbean Dove,Colombe de Jamaïque,Columbiformes,Columbidae,,Leptotila,Leptotila jamaicensis,,,,,,,
569,species,Gray-chested Dove,Colombe de Cassin,Columbiformes,Columbidae,,Leptotila,Leptotila cassinii,,,,,,,
566,species,Gray-headed Dove,Colombe à calotte grise,Columbiformes,Columbidae,,Leptotila,Leptotila plumbeiceps,,,,,,,
567,species,Grenada Dove,Colombe de Grenade,Columbiformes,Columbidae,,Leptotila,Leptotila wellsi,Monotypic.,,,,,,
10791,species,Tuxtla Quail-Dove,Colombe de Tuxtla,Columbiformes,Columbidae,,Zentrygon,Zentrygon carrikeri,Monotypic.,,,,,,
10801,species,Buff-fronted Quail-Dove,Colombe du Costa Rica,Columbiformes,Columbidae,,Zentrygon,Zentrygon costaricensis,,,,,,,
10811,species,Purplish-backed Quail-Dove,Colombe de Lawrence,Columbiformes,Columbidae,,Zentrygon,Zentrygon lawrencii,Monotypic.,,,,,,
10821,species,White-faced Quail-Dove,Colombe des nuages,Columbiformes,Columbidae,,Zentrygon,Zentrygon albifacies,Monotypic.,,,,,,
10831,species,Chiriqui Quail-Dove,Colombe du Chiriqui,Columbiformes,Columbidae,,Zentrygon,Zentrygon chiriquensis,Monotypic.,,,,,,
10841,species,Russet-crowned Quail-Dove,Colombe de Goldman,Columbiformes,Columbidae,,Zentrygon,Zentrygon goldmani,,,,,,,
553,species,White-winged Dove,Tourterelle à ailes blanches,Columbiformes,Columbidae,,Zenaida,Zenaida asiatica,,,,,,,
554,species,Zenaida Dove,Tourterelle à queue carrée,Columbiformes,Columbidae,,Zenaida,Zenaida aurita,,,,,,,
